Wall time,Step,Value
1648885069.999401,107,0.0
1648885073.731082,172,0.0
1648885078.575184,244,0.0
1648885080.088378,259,2.0
1648885111.886514,402,0.0
1648885126.469626,465,0.0
1648885135.309204,510,0.0
1648885143.731387,538,0.0
1648885148.75715,556,0.0
1648885157.497502,596,0.0
1648885171.66933,658,0.0
1648885197.580733,764,0.0
1648885206.0269,804,0.0
1648885222.094714,866,0.0
1648885226.789789,886,0.0
1648885266.797579,1015,0.0
1648885268.776265,1026,0.0
1648885271.938006,1037,0.0
1648885295.467233,1125,0.0
1648885296.904895,1132,0.0
1648885306.870723,1164,0.0
1648885309.055077,1176,0.0
1648885310.98735,1184,0.0
1648885328.711232,1252,0.0
1648885329.440445,1254,0.0
1648885333.350567,1271,0.0
1648885356.513898,1376,0.0
1648885369.723498,1417,3.0
1648885381.684708,1458,0.0
1648885389.004053,1494,1.0
1648885392.157264,1510,0.0
1648885392.707853,1513,0.0
1648885405.01706,1548,0.0
1648885409.883688,1565,0.0
1648885442.354142,1670,0.0
1648885517.264923,1940,0.0
1648885522.232986,1960,0.0
1648885522.393574,1961,0.0
1648885635.382377,2359,0.0
1648885658.553866,2436,0.0
1648885661.468437,2441,1.0
1648885668.089785,2462,0.0
1648885668.596923,2465,0.0
1648885681.607287,2503,1.0
1648885706.172556,2577,2.0
1648885722.864035,2635,0.0
1648885726.112023,2643,0.0
1648885736.341932,2684,0.0
1648885739.330616,2693,1.0
1648885744.576977,2708,0.0
1648885748.639694,2717,1.0
1648885764.73716,2768,0.0
1648885770.934031,2785,1.0
1648885788.719014,2844,0.0
1648885794.785899,2861,0.0
1648885828.610427,2973,0.0
1648885867.515341,3083,0.0
1648885872.99638,3104,1.0
1648885873.209584,3105,0.0
1648885884.311315,3145,1.0
1648885899.230231,3199,0.0
1648885903.584315,3217,0.0
1648885911.227394,3241,0.0
1648885919.662961,3265,0.0
1648885920.504305,3268,0.0
1648885946.449351,3356,0.0
1648885960.748629,3404,1.0
1648885991.641477,3483,1.0
1648885998.210755,3500,0.0
1648886006.129354,3526,0.0
1648886016.937853,3566,0.0
1648886027.064924,3600,2.0
1648886033.285304,3616,2.0
1648886044.008218,3654,1.0
1648886047.360454,3668,0.0
1648886047.960793,3671,0.0
1648886063.195873,3712,0.0
1648886085.039267,3782,0.0
1648886108.319009,3848,1.0
1648886130.611748,3915,0.0
1648886139.200941,3933,2.0
1648886174.148031,4012,0.0
1648886176.179659,4023,0.0
1648886203.157064,4109,2.0
1648886206.428367,4121,0.0
1648886227.670651,4181,3.0
1648886232.700174,4192,0.0
1648886244.796787,4227,1.0
1648886276.725967,4318,0.0
1648886279.46321,4328,0.0
1648886351.916937,4539,4.0
1648886362.005375,4564,0.0
1648886386.832158,4649,0.0
1648886400.421762,4690,0.0
1648886446.840466,4832,0.0
1648886447.802316,4836,0.0
1648886463.287054,4882,0.0
1648886475.30839,4910,2.0
1648886545.412754,5079,0.0
1648886549.378455,5088,1.0
1648886550.04779,5090,1.0
1648886564.55901,5132,0.0
1648886565.311529,5136,0.0
1648886572.187433,5155,0.0
1648886582.273278,5187,5.0
