Wall time,Step,Value
1648885070.00074,107,4005.0
1648885073.73236,172,5927.0
1648885078.576526,244,8453.0
1648885080.089679,259,9267.0
1648885111.88895,402,13584.0
1648885126.472076,465,15479.0
1648885135.310985,510,16613.0
1648885143.733192,538,17689.0
1648885148.759283,556,18351.0
1648885157.499508,596,19502.0
1648885171.671883,658,21380.0
1648885197.583722,764,24822.0
1648885206.029238,804,25905.0
1648885222.097364,866,27955.0
1648885226.791772,886,28560.0
1648885266.800137,1015,33145.0
1648885268.777913,1026,33392.0
1648885271.942296,1037,33765.0
1648885295.469802,1125,36714.0
1648885296.90677,1132,36899.0
1648885306.873111,1164,38185.0
1648885309.05919,1176,38451.0
1648885310.98962,1184,38706.0
1648885328.714417,1252,41056.0
1648885329.442438,1254,41148.0
1648885333.353015,1271,41648.0
1648885356.516123,1376,44605.0
1648885369.726489,1417,46296.0
1648885381.688176,1458,47851.0
1648885389.007094,1494,48792.0
1648885392.160332,1510,49182.0
1648885392.710366,1513,49251.0
1648885405.020934,1548,50812.0
1648885409.887285,1565,51439.0
1648885442.357247,1670,55644.0
1648885517.269279,1940,65258.0
1648885522.236191,1960,65879.0
1648885522.395889,1961,65900.0
1648885635.386683,2359,79681.0
1648885658.558189,2436,82624.0
1648885661.471333,2441,83009.0
1648885668.091858,2462,83869.0
1648885668.598831,2465,83936.0
1648885681.611395,2503,85594.0
1648885706.17601,2577,88771.0
1648885722.866051,2635,90921.0
1648885726.114586,2643,91343.0
1648885736.344277,2684,92644.0
1648885739.333274,2693,93038.0
1648885744.579053,2708,93702.0
1648885748.642255,2717,94212.0
1648885764.739648,2768,96223.0
1648885770.937308,2785,96984.0
1648885788.721297,2844,99170.0
1648885794.788317,2861,99876.0
1648885828.613985,2973,103970.0
1648885867.51744,3083,108014.0
1648885873.000476,3104,108658.0
1648885873.213716,3105,108681.0
1648885884.313582,3145,110064.0
1648885899.234414,3199,111934.0
1648885903.5869,3217,112493.0
1648885911.23143,3241,113455.0
1648885919.667265,3265,114493.0
1648885920.507264,3268,114588.0
1648885946.452217,3356,117831.0
1648885960.752319,3404,119555.0
1648885991.643606,3483,123199.0
1648885998.213913,3500,123962.0
1648886006.132467,3526,124891.0
1648886016.940345,3566,126158.0
1648886027.067229,3600,127365.0
1648886033.288529,3616,128124.0
1648886044.010458,3654,129464.0
1648886047.364605,3668,129869.0
1648886047.963184,3671,129936.0
1648886063.199434,3712,131824.0
1648886085.042115,3782,134508.0
1648886108.323086,3848,137346.0
1648886130.616093,3915,140117.0
1648886139.203847,3933,141202.0
1648886174.152133,4012,144553.0
1648886176.182189,4023,144802.0
1648886203.161204,4109,148090.0
1648886206.43066,4121,148504.0
1648886227.674289,4181,151087.0
1648886232.703668,4192,151716.0
1648886244.79893,4227,153221.0
1648886276.730082,4318,157065.0
1648886279.464979,4328,157388.0
1648886351.920121,4539,166024.0
1648886362.008149,4564,167212.0
1648886386.834874,4649,170084.0
1648886400.425453,4690,171683.0
1648886446.843335,4832,177072.0
1648886447.805864,4836,177192.0
1648886463.290658,4882,178983.0
1648886475.310676,4910,180386.0
1648886545.415065,5079,187449.0
1648886549.381734,5088,187900.0
1648886550.051378,5090,187972.0
1648886564.56153,5132,189684.0
1648886565.314932,5136,189772.0
1648886572.190007,5155,190554.0
1648886582.276218,5187,191752.0
1648886585.65502,5200,192166.0
1648886597.662369,5225,193604.0
1648886613.243978,5262,195463.0
1648886626.42046,5295,197010.0
1648886651.158982,5362,199917.0
1648886665.599914,5403,201666.0
1648886680.047364,5454,203406.0
1648886762.537553,5667,213233.0
1648886791.385063,5758,216787.0
1648886818.594583,5832,220054.0
1648886831.145342,5866,221532.0
1648886836.929075,5879,222190.0
1648886863.545152,5956,225239.0
1648886872.234605,5981,226205.0
1648886877.701744,5997,226830.0
1648886905.435802,6053,228637.0
1648886928.271614,6111,231341.0
1648886940.230054,6138,232771.0
