Wall time,Step,Value
1649182775.6371346,172,3.0
1649182812.4295104,244,3.0
1649182820.3569648,259,3.0
1649182893.6415226,402,3.0
1649182926.11845,465,3.0
1649182948.9963915,510,3.0
1649182972.8264244,556,3.0
1649183025.5317678,658,0.0
1649183100.0064764,804,2.0
1649183213.5825484,1026,2.0
1649183219.1715803,1037,2.0
1649183267.467618,1132,2.0
1649183294.3372736,1184,0.0
1649183338.5680761,1271,1.0
1649183413.454614,1417,3.0
1649183434.2863526,1458,3.0
1649183452.5764904,1494,1.0
1649183461.2210855,1510,1.0
1649183480.6035564,1548,1.0
1649183489.2366314,1565,1.0
1649183689.2402396,1940,1.0
1649183699.7172945,1960,1.0
1649183942.9633532,2436,5.0
1649183945.5012748,2441,5.0
1649183956.176685,2462,1.0
1649183977.0761054,2503,0.0
1649184015.0735571,2577,1.0
1649184073.1831796,2684,1.0
1649184077.7544293,2693,1.0
1649184085.6876404,2708,0.0
1649184090.2924786,2717,0.0
1649184116.9631395,2768,1.0
1649184281.167282,3083,3.0
1649184292.482247,3105,3.0
1649184314.1739192,3145,3.0
1649184364.8486936,3241,1.0
1649184377.145612,3265,1.0
1649184423.9057627,3356,1.0
1649184505.8460631,3500,1.0
1649184539.9371927,3566,1.0
1649184557.2057269,3600,2.0
1649184565.3319485,3616,2.0
1649184584.653126,3654,0.0
1649184591.769058,3668,0.0
1649184593.4527304,3671,0.0
1649184691.73438,3848,2.0
1649184726.1228392,3915,1.0
1649184781.1272898,4023,1.0
1649184825.396861,4109,1.0
1649184831.494357,4121,1.0
1649184862.0194902,4181,3.0
1649184867.924698,4192,3.0
1649184885.7152007,4227,4.0
1649184932.37977,4318,2.0
1649184937.458673,4328,2.0
1649185058.306505,4564,1.0
1649185196.2408533,4832,1.0
1649185328.462326,5090,1.0
1649185351.835326,5136,1.0
1649185377.7672079,5187,1.0
1649185384.386192,5200,1.0
1649185416.1869607,5262,1.0
1649185432.9601417,5295,3.0
1649185467.586571,5362,0.0
1649185514.4251385,5454,0.0
1649185630.346648,5667,1.0
1649185714.5092394,5832,2.0
1649185731.80212,5866,5.0
1649185738.4678838,5879,5.0
1649185791.2740016,5981,0.0
1649185799.4044323,5997,0.0
1649185827.866901,6053,3.0
1649185871.3086236,6138,0.0
1649185915.5914502,6225,0.0
