Wall time,Step,Value
1649182775.6373973,172,382.0
1649182812.4297645,244,382.0
1649182820.357183,259,382.0
1649182893.6417646,402,382.0
1649182926.118707,465,382.0
1649182948.996609,510,382.0
1649182972.8266733,556,382.0
1649183025.532029,658,169.0
1649183100.006661,804,268.0
1649183213.5827935,1026,283.0
1649183219.1718082,1037,283.0
1649183267.4678643,1132,276.0
1649183294.337417,1184,195.0
1649183338.5683007,1271,235.0
1649183413.4548795,1417,343.0
1649183434.2866158,1458,343.0
1649183452.5767272,1494,207.0
1649183461.221333,1510,207.0
1649183480.6037166,1548,204.0
1649183489.2367728,1565,204.0
1649183689.2403877,1940,244.0
1649183699.7174368,1960,244.0
1649183942.9635997,2436,406.0
1649183945.5015306,2441,406.0
1649183956.1769316,2462,234.0
1649183977.0762749,2503,166.0
1649184015.0737474,2577,240.0
1649184073.1834376,2684,233.0
1649184077.7547047,2693,233.0
1649184085.6878986,2708,178.0
1649184090.2926216,2717,178.0
1649184116.9633641,2768,233.0
1649184281.1675205,3083,332.0
1649184292.4824574,3105,332.0
1649184314.174168,3145,332.0
1649184364.848935,3241,257.0
1649184377.1458688,3265,257.0
1649184423.9059541,3356,225.0
1649184505.8462567,3500,235.0
1649184539.9373822,3566,235.0
1649184557.2058823,3600,301.0
1649184565.3321545,3616,301.0
1649184584.653346,3654,192.0
1649184591.7692957,3668,173.0
1649184593.4529684,3671,173.0
1649184691.7345042,3848,261.0
1649184726.1230817,3915,232.0
1649184781.1275458,4023,243.0
1649184825.397077,4109,228.0
1649184831.4944978,4121,228.0
1649184862.0196846,4181,375.0
1649184867.9249103,4192,375.0
1649184885.715387,4227,396.0
1649184932.3800027,4318,268.0
1649184937.4588912,4328,260.0
1649185058.3067489,4564,211.0
1649185196.2409933,4832,232.0
1649185328.4624653,5090,239.0
1649185351.8354714,5136,251.0
1649185377.7673364,5187,250.0
1649185384.3863835,5200,250.0
1649185416.1872022,5262,206.0
1649185432.9602711,5295,331.0
1649185467.5868168,5362,169.0
1649185514.425315,5454,169.0
1649185630.3468282,5667,246.0
1649185714.5094862,5832,284.0
1649185731.8022325,5866,458.0
1649185738.468082,5879,458.0
1649185791.2742474,5981,192.0
1649185799.4046004,5997,192.0
1649185827.8671188,6053,343.0
1649185871.308913,6138,196.0
1649185915.591657,6225,196.0
1649185943.0377452,6279,379.0
1649185971.0485442,6334,208.0
1649185988.8244164,6369,221.0
1649186091.2620237,6569,233.0
