Wall time,Step,Value
1649182775.6375954,172,3.0
1649182812.4299679,244,5.0
1649182820.35736,259,5.0
1649182893.642056,402,7.0
1649182926.118907,465,8.0
1649182948.9967632,510,8.0
1649182972.8268774,556,9.0
1649183025.532205,658,11.0
1649183100.0068169,804,13.0
1649183213.5829947,1026,18.0
1649183219.1720545,1037,18.0
1649183267.468137,1132,21.0
1649183294.337532,1184,22.0
1649183338.5684762,1271,24.0
1649183413.4550548,1417,27.0
1649183434.2868607,1458,28.0
1649183452.5769043,1494,28.0
1649183461.2215343,1510,29.0
1649183480.6038482,1548,29.0
1649183489.2368848,1565,29.0
1649183689.2404847,1940,37.0
1649183699.7175329,1960,38.0
1649183942.9637988,2436,46.0
1649183945.501732,2441,46.0
1649183956.177133,2462,46.0
1649183977.076421,2503,46.0
1649184015.0738852,2577,48.0
1649184073.1836395,2684,51.0
1649184077.754948,2693,51.0
1649184085.6881115,2708,51.0
1649184090.2927356,2717,52.0
1649184116.9635386,2768,53.0
1649184281.1677005,3083,59.0
1649184292.4826074,3105,59.0
1649184314.1743693,3145,60.0
1649184364.8491378,3241,63.0
1649184377.1460683,3265,63.0
1649184423.9060864,3356,65.0
1649184505.8464103,3500,67.0
1649184539.9375257,3566,68.0
1649184557.2060072,3600,69.0
1649184565.3323321,3616,70.0
1649184584.6534986,3654,70.0
1649184591.769472,3668,71.0
1649184593.453166,3671,71.0
1649184691.7346015,3848,75.0
1649184726.1232827,3915,76.0
1649184781.1277459,4023,78.0
1649184825.3972766,4109,79.0
1649184831.4946132,4121,80.0
1649184862.0198376,4181,81.0
1649184867.9250605,4192,81.0
1649184885.7155418,4227,82.0
1649184932.3801806,4318,84.0
1649184937.459042,4328,84.0
1649185058.3069537,4564,88.0
1649185196.241101,4832,93.0
1649185328.462577,5090,98.0
1649185351.8355863,5136,99.0
1649185377.7674327,5187,100.0
1649185384.3865337,5200,100.0
1649185416.1874018,5262,101.0
1649185432.960369,5295,102.0
1649185467.5870116,5362,103.0
1649185514.4254642,5454,106.0
1649185630.3469708,5667,108.0
1649185714.5096843,5832,110.0
1649185731.8023121,5866,110.0
1649185738.4682393,5879,111.0
1649185791.274447,5981,112.0
1649185799.404736,5997,112.0
1649185827.8672945,6053,113.0
1649185871.3091226,6138,114.0
1649185915.591833,6225,115.0
1649185943.0379481,6279,116.0
1649185971.0487463,6334,117.0
1649185988.8245914,6369,118.0
1649186091.262156,6569,120.0
1649186173.6918838,6730,122.0
1649186184.0749516,6750,122.0
1649186234.9953377,6850,123.0
1649186270.9170356,6919,124.0
1649186307.5654364,6991,125.0
1649186339.649718,7054,126.0
1649186441.44367,7253,127.0
1649186541.7419457,7436,129.0
1649186555.981057,7464,130.0
1649186605.0760348,7543,131.0
1649186666.9644141,7644,133.0
1649186709.9663126,7727,133.0
1649186711.4918754,7730,134.0
1649186724.7028759,7756,134.0
1649186744.0438697,7794,134.0
1649186842.4807663,7986,136.0
1649186911.7827656,8122,138.0
1649186997.689106,8291,139.0
1649187129.4669971,8548,143.0
1649187132.5221014,8554,143.0
1649187165.0390234,8618,143.0
1649187185.9042034,8659,143.0
1649187203.689222,8694,144.0
1649187218.908495,8724,144.0
1649187233.142194,8752,144.0
1649187245.3506176,8776,145.0
1649187246.3658056,8778,145.0
1649187269.2111518,8823,145.0
1649187274.2807448,8833,145.0
1649187296.6415405,8877,146.0
1649187388.7765672,9058,148.0
1649187436.7041368,9152,150.0
1649187494.6504962,9252,151.0
1649187514.4712312,9291,151.0
1649187532.7736855,9327,151.0
1649187549.0670557,9359,152.0
1649187644.88129,9547,153.0
1649187728.9113035,9712,156.0
1649187749.7386105,9753,156.0
1649187750.2457983,9754,156.0
1649187792.7731814,9837,157.0
1649187808.02437,9867,157.0
1649187821.7492113,9894,158.0
1649187833.433909,9917,158.0
1649187849.6988168,9949,158.0
1649187861.9038687,9973,159.0
1649187864.9511852,9979,159.0
1649187908.1481175,10063,160.0
1649187921.867434,10090,161.0
1649187937.6157267,10121,161.0
1649187973.6871946,10191,162.0
1649188050.8196452,10342,164.0
1649188079.5043745,10395,165.0
1649188105.019818,10445,166.0
1649188112.5991664,10458,166.0
1649188135.144144,10501,167.0
1649188144.569096,10518,167.0
1649188167.3433952,10561,168.0
1649188211.4753695,10643,170.0
1649188212.5733416,10645,170.0
1649188269.672187,10707,171.0
1649188278.672437,10724,172.0
1649188431.226721,11023,174.0
1649188437.8324232,11036,175.0
1649188467.7497718,11094,175.0
1649188480.0992892,11118,176.0
1649188538.7843225,11218,178.0
1649188596.8804524,11331,179.0
1649188629.4457698,11394,179.0
1649188846.255343,11819,184.0
1649188870.625721,11867,185.0
1649188952.850098,12027,187.0
1649188977.7525442,12076,187.0
1649189099.9460347,12316,191.0
1649189119.2553077,12354,191.0
1649189141.5922756,12398,192.0
1649189142.6054256,12400,192.0
1649189181.2086706,12476,192.0
1649189245.152433,12601,194.0
1649189299.5186374,12708,195.0
1649189398.085936,12901,197.0
1649189400.12035,12905,197.0
1649189420.6818538,12944,198.0
1649189612.2733917,13304,201.0
1649189654.9578307,13388,203.0
1649189670.2070854,13418,203.0
1649189723.0609572,13522,204.0
1649189737.3017144,13550,205.0
1649189774.378839,13623,206.0
1649189784.0373826,13642,206.0
1649189786.5786448,13647,206.0
1649189865.425073,13802,208.0
1649189889.2972164,13849,209.0
1649189951.7671769,13971,210.0
1649189957.0329208,13980,210.0
1649189970.2748787,14006,211.0
1649189990.633955,14046,211.0
1649190062.7873626,14188,213.0
1649190071.933543,14206,213.0
1649190101.9553566,14265,214.0
1649190147.259101,14354,216.0
1649190150.815854,14361,216.0
1649190283.9615157,14623,219.0
1649190295.1316938,14645,219.0
1649190345.9364448,14745,220.0
1649190399.8595173,14851,222.0
1649190406.465474,14864,222.0
1649190492.6837273,15019,225.0
1649190516.440567,15065,226.0
1649190518.9795914,15070,226.0
1649190546.4433794,15124,227.0
1649190577.512951,15185,228.0
1649190672.0764716,15371,231.0
1649190732.5759792,15490,233.0
1649190793.7464721,15610,234.0
1649190808.2235541,15638,234.0
1649191032.0409224,16076,239.0
1649191115.8668382,16241,241.0
1649191152.4963164,16313,242.0
1649191192.8883357,16392,243.0
1649191210.6762652,16427,244.0
1649191418.0532613,16834,249.0
1649191434.4214938,16866,249.0
1649191441.578425,16880,249.0
1649191443.0994818,16883,249.0
1649191455.290769,16907,249.0
1649191475.61563,16947,250.0
1649191563.8493483,17120,252.0
1649191566.8991084,17126,252.0
1649191567.4069698,17127,252.0
1649191636.544473,17263,253.0
1649191703.4790728,17394,255.0
1649191789.4712775,17563,258.0
1649191824.5104053,17632,258.0
1649191857.8828828,17697,259.0
1649191875.171419,17731,260.0
1649192015.1719131,18005,262.0
1649192074.2667348,18121,264.0
1649192078.332744,18129,264.0
1649192080.3738549,18133,264.0
1649192082.4025972,18137,264.0
1649192218.7423196,18405,267.0
1649192257.4173594,18481,268.0
1649192399.6837585,18759,272.0
1649192402.735418,18765,272.0
1649192410.355155,18780,273.0
1649192417.9651363,18795,273.0
1649192473.3730624,18904,274.0
1649192577.6783428,19109,276.0
1649192579.7123961,19113,276.0
1649192628.5108056,19209,277.0
1649192684.4046106,19319,278.0
1649192713.9376354,19377,279.0
1649192779.8499522,19501,281.0
1649192802.9212718,19546,282.0
1649192839.1761446,19617,282.0
1649192953.137412,19841,285.0
1649192994.2821157,19922,286.0
1649193033.6016726,19999,286.0
1649193285.1411695,20493,294.0
1649193328.3149762,20578,295.0
1649193348.63157,20618,295.0
1649193362.85228,20646,296.0
1649193371.9987817,20664,296.0
1649193373.0147295,20666,296.0
1649193420.7910416,20760,297.0
1649193462.0229886,20841,298.0
1649193526.5678802,20968,300.0
1649193532.1571078,20979,300.0
1649193542.8198128,21000,301.0
1649193561.1983302,21036,301.0
1649193569.3454883,21052,302.0
1649193608.4808042,21129,303.0
1649193678.595655,21267,305.0
1649193700.9885218,21311,305.0
1649193886.65137,21676,311.0
1649193887.6664572,21678,311.0
1649194084.2061677,22063,316.0
1649194134.9584785,22162,316.0
1649194208.8846004,22307,317.0
1649194246.0138907,22380,319.0
1649194411.31525,22702,323.0
1649194438.7793026,22756,324.0
1649194599.7686927,23071,328.0
1649194617.599377,23106,329.0
1649194731.775746,23330,333.0
1649194770.6412168,23406,334.0
1649194771.1491597,23407,334.0
1649194818.3803165,23500,335.0
1649194863.9355106,23589,336.0
1649195268.443208,24378,347.0
1649195317.8719556,24469,348.0
1649195319.9022784,24473,348.0
1649195329.5812714,24492,348.0
1649195437.448948,24704,351.0
1649195444.5696044,24718,352.0
1649195464.9222422,24758,352.0
1649195500.5438023,24828,354.0
1649195508.160954,24843,354.0
1649195524.4229975,24875,355.0
1649195527.976213,24882,355.0
1649195559.4946754,24938,356.0
1649195589.5357738,24991,356.0
1649195623.8653133,25053,357.0
1649195653.8196552,25112,358.0
1649195723.5091953,25249,359.0
1649195822.6573482,25444,362.0
1649195926.7770097,25649,364.0
1649195954.2532885,25703,365.0
1649195959.3293247,25713,365.0
1649195960.3456683,25715,365.0
1649195981.700606,25757,365.0
1649196063.3139997,25917,367.0
1649196069.411583,25929,368.0
1649196183.4056466,26153,371.0
1649196239.3574548,26263,373.0
1649196259.6905553,26303,374.0
1649196297.3117297,26377,375.0
1649196319.6959891,26421,376.0
1649196434.2777233,26646,379.0
1649196458.1620162,26693,380.0
1649196520.9390795,26816,381.0
1649196599.2404513,26970,384.0
1649196624.6004825,27014,385.0
1649196632.2244177,27029,385.0
1649196670.3117263,27104,386.0
1649196773.957796,27308,389.0
1649196803.9195695,27367,389.0
1649196848.32857,27454,391.0
1649196882.3864403,27521,392.0
1649196939.489371,27626,394.0
1649196955.1493278,27651,394.0
1649197030.126793,27792,396.0
1649197050.968883,27833,397.0
1649197085.3221717,27894,398.0
1649197142.66263,28006,399.0
1649197162.5061188,28045,400.0
1649197191.5483184,28102,400.0
1649197369.9313068,28452,405.0
1649197452.8438392,28615,408.0
1649197543.7998955,28794,409.0
1649197574.3106408,28854,410.0
1649197588.5454464,28882,410.0
1649197634.3729386,28972,412.0
1649197640.4715457,28984,412.0
1649197712.6510658,29126,414.0
1649197780.2679474,29259,416.0
1649197806.1879082,29310,416.0
1649197867.8432817,29431,417.0
1649197897.840296,29490,418.0
1649197935.973153,29565,420.0
1649197963.9550748,29620,420.0
1649197972.0911186,29636,421.0
1649197989.8946157,29671,421.0
1649197992.9451044,29677,421.0
1649198047.361292,29784,423.0
1649198071.2807674,29831,423.0
1649198079.918511,29848,424.0
1649198093.134182,29874,424.0
1649198143.943556,29974,425.0
1649198185.1565886,30055,427.0
1649198191.2602363,30067,427.0
1649198197.863537,30080,427.0
1649198309.708675,30300,431.0
1649198326.809502,30333,432.0
1649198514.9325628,30703,437.0
1649198611.506925,30892,440.0
1649198625.2295382,30919,440.0
1649198645.54815,30959,441.0
1649198649.6110263,30967,441.0
1649198669.418592,31006,441.0
1649198790.4094555,31244,445.0
1649198825.9877834,31314,446.0
1649198857.4897037,31376,446.0
1649198874.7477834,31410,447.0
1649198904.7386117,31469,448.0
1649198975.0723305,31607,450.0
1649199002.01566,31660,451.0
1649199022.360746,31700,452.0
1649199125.156376,31902,455.0
1649199133.2876048,31918,455.0
1649199151.3138638,31953,455.0
1649199163.0068579,31976,455.0
1649199182.3440094,32014,456.0
1649199433.645182,32507,462.0
1649199465.159834,32569,462.0
1649199588.3839133,32811,466.0
1649199594.983702,32824,466.0
1649199595.4900415,32825,466.0
1649199634.628666,32902,467.0
1649199667.330466,32966,468.0
1649199690.814307,33012,469.0
1649199826.6664083,33279,473.0
1649199892.2587397,33408,475.0
1649199901.4351292,33426,475.0
1649200041.8538785,33701,478.0
1649200093.7065904,33803,479.0
1649200124.7284148,33864,480.0
1649200125.7508583,33866,480.0
1649200135.957163,33886,481.0
1649200204.5659776,34021,483.0
1649200248.3276925,34107,484.0
1649200430.282067,34464,490.0
1649200448.0636754,34499,490.0
1649200511.046754,34623,492.0
1649200669.4228766,34931,498.0
1649200678.5670853,34949,498.0
1649200679.5831156,34951,498.0
1649200687.7134938,34967,498.0
1649200775.880837,35140,501.0
1649200815.0501049,35217,501.0
1649200896.5780342,35377,504.0
1649200940.8270776,35464,505.0
1649200947.4382303,35477,505.0
1649200985.5490391,35551,507.0
1649200999.771412,35579,507.0
1649201028.2424853,35635,508.0
1649201063.3526347,35704,509.0
1649201149.9496355,35874,512.0
1649201169.7796352,35913,512.0
1649201187.5741622,35948,512.0
1649201218.0729334,36008,514.0
1649201469.2466307,36501,522.0
1649201525.7466207,36612,523.0
1649201535.441806,36631,524.0
1649201563.437827,36686,525.0
1649201567.5109723,36694,525.0
1649201665.4487615,36886,528.0
1649201666.4669695,36888,528.0
1649201667.9915233,36891,528.0
1649201674.0830946,36903,528.0
1649201681.200001,36917,528.0
1649201721.353034,36996,530.0
1649201756.4360027,37065,531.0
1649201763.549883,37079,531.0
1649201782.3783917,37116,532.0
1649201816.11967,37182,533.0
1649201980.5586529,37498,538.0
1649202056.3754258,37647,539.0
1649202070.0892162,37674,540.0
1649202108.1714196,37749,541.0
1649202138.1637495,37808,542.0
1649202203.7629032,37937,544.0
1649202431.9461567,38386,549.0
1649202432.4541311,38387,549.0
1649202443.1194675,38408,549.0
1649202483.2767177,38487,550.0
1649202499.0402265,38518,551.0
1649202521.9580398,38563,551.0
1649202645.1196535,38805,555.0
1649202662.8561819,38839,555.0
1649202683.6853619,38880,556.0
1649202692.824528,38898,556.0
1649202757.8260942,39025,557.0
1649202866.3523202,39238,561.0
1649202997.8054593,39477,565.0
1649203042.4418209,39551,566.0
1649203063.727503,39588,566.0
1649203133.1281,39712,568.0
1649203310.2527385,40030,572.0
1649203355.5806787,40110,574.0
1649203391.7292242,40174,575.0
1649203423.321514,40236,576.0
1649203429.9260936,40249,576.0
1649203448.2317803,40285,576.0
1649203469.0961301,40326,577.0
1649203472.1428058,40332,577.0
1649203515.203928,40416,577.0
1649203569.2031329,40522,578.0
1649203578.3608932,40540,578.0
1649203605.3331888,40593,578.0
1649203617.5228786,40617,578.0
1649203707.1805665,40793,582.0
1649203711.2431648,40801,582.0
1649203736.0091333,40849,583.0
1649203783.3037872,40942,584.0
1649203834.65238,41043,585.0
1649203848.3660955,41070,586.0
1649203849.8932464,41073,586.0
1649203851.9257174,41077,586.0
1649203960.8883507,41291,589.0
1649204003.1208494,41374,590.0
1649204053.4983413,41473,591.0
1649204085.5238729,41536,592.0
1649204088.0653074,41541,592.0
1649204100.760478,41566,592.0
1649204145.466918,41654,593.0
1649204205.6674197,41772,595.0
1649204276.8335645,41912,597.0
1649204305.2765164,41968,597.0
1649204327.6375167,42012,598.0
1649204381.6424727,42118,599.0
1649204386.7509656,42128,599.0
1649204388.2775939,42131,599.0
1649204556.4839175,42461,604.0
1649204594.1475701,42535,605.0
1649204760.5138962,42855,610.0
1649204767.631394,42869,610.0
1649204783.401605,42900,611.0
1649204809.3315227,42951,611.0
1649204904.3600242,43138,614.0
1649204952.0175948,43231,614.0
1649204953.5392118,43234,614.0
1649204985.0247586,43296,614.0
1649205116.1710835,43554,618.0
1649205145.1474304,43611,619.0
1649205229.7677712,43777,621.0
1649205282.1299512,43880,622.0
1649205435.5624585,44180,626.0
1649205474.1029043,44255,627.0
1649205488.327059,44283,627.0
1649205522.1105628,44349,628.0
1649205529.2238152,44363,628.0
1649205580.0758197,44463,630.0
1649205584.6660128,44472,630.0
1649205590.7678416,44484,630.0
1649205610.080142,44522,630.0
1649205662.3590279,44624,631.0
1649205706.7656167,44711,632.0
1649205713.375165,44724,632.0
1649205716.4270885,44730,632.0
1649205732.1932783,44761,632.0
1649205841.7261453,44976,635.0
1649205861.0313787,45014,636.0
1649205876.7970624,45045,636.0
1649206049.7058656,45385,642.0
1649206073.377802,45427,642.0
1649206125.8252306,45530,643.0
1649206146.7843513,45571,644.0
1649206241.595,45757,647.0
1649206505.7389483,46274,652.0
1649206618.8362954,46492,655.0
1649206624.931119,46504,655.0
1649206681.3746161,46610,657.0
1649206743.1431096,46722,658.0
1649206830.170359,46874,660.0
1649206838.5518508,46890,660.0
1649206850.711037,46910,660.0
1649206911.3583913,47017,662.0
1649206926.994404,47046,663.0
1649206937.2617185,47063,663.0
1649206940.0138829,47067,663.0
1649206949.8770041,47083,663.0
1649206966.278502,47112,664.0
1649206990.9886892,47159,665.0
1649207004.5155685,47178,665.0
1649207076.3692558,47304,667.0
1649207100.1939116,47348,667.0
1649207166.9596431,47459,669.0
1649207216.9658465,47546,670.0
1649207254.019854,47611,671.0
1649207262.487441,47625,672.0
1649207347.818824,47777,674.0
1649207477.3188367,47999,678.0
1649207588.9433053,48189,681.0
1649207593.9090261,48198,681.0
1649207620.3820028,48247,681.0
1649207702.1576755,48385,683.0
1649207771.692427,48510,684.0
1649207844.224974,48635,686.0
1649207878.4953692,48696,687.0
1649207892.1910918,48717,687.0
1649207963.784726,48843,689.0
1649208108.7292933,49093,694.0
1649208152.6475377,49165,695.0
1649208172.6616538,49201,696.0
1649208214.3748748,49268,698.0
1649208238.59322,49314,698.0
1649208268.6807208,49361,699.0
1649208340.2375185,49483,702.0
1649208364.1024067,49527,702.0
1649208461.0166593,49691,705.0
1649208467.173473,49702,705.0
1649208496.9862242,49752,706.0
1649208554.0299895,49853,707.0
1649208560.221959,49864,707.0
1649208615.3116336,49961,708.0
1649208624.956248,49975,709.0
1649208647.906188,50010,710.0
1649208789.0149643,50261,714.0
1649208823.5792067,50322,715.0
1649208926.7987015,50505,717.0
1649208979.6434352,50598,719.0
1649208982.2114975,50603,719.0
1649209003.9126947,50639,720.0
1649209035.7071788,50697,721.0
1649209069.6633735,50752,722.0
1649209074.24228,50761,722.0
1649209105.3583212,50819,722.0
1649209151.3832834,50899,724.0
1649209260.326846,51094,726.0
1649209468.8358886,51468,731.0
1649209541.778604,51600,733.0
1649209651.2806113,51797,736.0
1649209727.230245,51930,737.0
1649209730.2827826,51936,737.0
1649209737.3894143,51950,737.0
1649209749.778831,51971,738.0
1649209773.3243344,52013,738.0
1649209892.005711,52229,741.0
1649209909.2895243,52263,742.0
1649209958.1308215,52352,743.0
1649209964.2341042,52364,743.0
1649209982.0210762,52399,744.0
1649210056.6454923,52539,746.0
1649210061.6403008,52547,746.0
1649210110.7295659,52641,747.0
1649210124.9129808,52666,748.0
1649210285.0446053,52967,752.0
1649210344.5912333,53082,753.0
1649210432.6162586,53254,754.0
1649210620.945669,53623,760.0
1649210716.4696052,53810,764.0
1649210804.9688184,53982,767.0
1649210834.9787495,54041,767.0
1649210889.3075523,54147,769.0
1649211048.1649208,54458,775.0
1649211114.3045056,54588,776.0
1649211116.3359087,54592,776.0
1649211122.9362512,54605,776.0
1649211204.8107498,54766,778.0
1649211357.3712955,55065,782.0
1649211364.4834895,55079,782.0
1649211385.3011143,55120,783.0
1649211399.53054,55148,783.0
1649211404.151974,55157,783.0
1649211457.0220842,55261,784.0
1649211510.8926132,55367,785.0
1649211578.0289695,55499,788.0
1649211624.300076,55583,789.0
1649211625.8299608,55586,789.0
1649211636.4949782,55607,789.0
1649211647.659145,55629,790.0
1649211693.094835,55718,791.0
1649211770.3331726,55870,794.0
1649211827.3869193,55982,796.0
1649211842.1974003,56011,797.0
1649211904.3287575,56132,798.0
1649211922.5988421,56168,798.0
1649211943.9413126,56210,799.0
1649211985.5845025,56291,800.0
1649212080.46943,56477,803.0
1649212082.5011406,56481,803.0
1649212085.6200755,56487,803.0
1649212229.1448896,56761,808.0
1649212244.377387,56791,808.0
1649212245.3949742,56793,808.0
1649212319.6963565,56932,810.0
1649212333.4150925,56959,810.0
1649212387.8402717,57066,812.0
1649212514.5334928,57301,816.0
1649212574.88952,57412,818.0
1649212594.722329,57451,818.0
1649212663.1225977,57585,821.0
1649212763.4739037,57781,824.0
1649212769.063586,57792,824.0
1649212823.2198396,57898,825.0
1649212846.6149,57944,826.0
1649212857.8295429,57966,826.0
1649212863.928744,57978,826.0
1649212964.9708457,58170,830.0
1649213071.3898861,58367,833.0
1649213092.6375637,58397,834.0
1649213096.7389584,58405,834.0
1649213121.462072,58447,835.0
1649213207.0597758,58615,837.0
1649213227.3978448,58655,838.0
1649213265.527107,58730,839.0
1649213283.8277004,58766,839.0
1649213334.195213,58865,841.0
1649213432.268951,59057,843.0
1649213576.909653,59340,847.0
1649213650.528272,59485,848.0
1649213685.547726,59553,848.0
1649213686.5648227,59555,848.0
1649213898.8518667,59972,853.0
1649213913.627032,60001,854.0
1649214004.328276,60179,856.0
1649214055.9063752,60280,857.0
1649214132.646413,60431,859.0
1649214402.3809683,60958,866.0
1649214514.5555294,61178,868.0
1649214535.3944402,61219,869.0
1649214620.3201418,61386,871.0
1649214626.4324024,61398,872.0
1649214759.6100004,61660,876.0
1649214792.632414,61725,877.0
1649214801.276001,61742,877.0
1649214884.1533456,61904,879.0
1649214885.212566,61906,879.0
1649214902.9998252,61941,879.0
1649214917.2497766,61969,880.0
1649214928.0352962,61990,880.0
1649214959.960093,62052,881.0
1649214974.6945364,62081,881.0
1649215108.615515,62344,885.0
1649215129.9867027,62386,885.0
1649215217.406073,62558,888.0
1649215218.759618,62560,888.0
1649215286.3914552,62693,890.0
1649215351.0034986,62820,892.0
1649215426.2762256,62968,894.0
1649215478.6639771,63071,895.0
1649215518.8030753,63150,897.0
1649215524.4250448,63161,897.0
1649215568.762141,63248,898.0
1649215734.3073223,63568,904.0
1649215761.7542686,63622,905.0
1649215794.8465295,63687,907.0
1649215905.7232883,63905,910.0
1649216000.3047388,64091,912.0
1649216019.1214633,64128,912.0
1649216208.356835,64499,917.0
1649216258.7677407,64598,919.0
1649216274.7462113,64629,919.0
1649216409.8564672,64894,924.0
1649216427.1529636,64928,924.0
1649216630.1409183,65325,933.0
1649216654.070705,65372,934.0
1649216676.9369667,65417,935.0
1649216691.1720853,65445,935.0
1649216692.6971445,65448,935.0
1649216748.8661373,65558,939.0
1649216813.2769403,65684,940.0
1649216832.7748885,65722,941.0
1649216848.5432801,65753,941.0
1649216893.4306614,65841,942.0
1649216902.0781612,65858,943.0
1649216940.8164186,65933,945.0
1649216952.6705105,65956,945.0
1649216968.4265256,65987,946.0
1649217032.4979274,66113,947.0
1649217084.5331686,66210,949.0
1649217094.6992972,66230,950.0
1649217101.822305,66244,950.0
1649217126.2281327,66292,951.0
1649217236.6837459,66509,955.0
1649217299.6680036,66633,957.0
1649217309.3299456,66652,957.0
1649217315.4343066,66664,957.0
1649217323.5680814,66680,957.0
1649217332.4053428,66697,958.0
1649217353.7853947,66739,959.0
1649217355.310968,66742,959.0
1649217374.6291072,66780,960.0
1649217532.4333596,67090,965.0
1649217607.1605687,67237,967.0
1649217629.5565927,67281,968.0
1649217682.8895938,67386,969.0
1649217746.4566061,67511,971.0
1649217752.5576966,67523,971.0
1649217910.6938007,67834,977.0
1649217923.9071326,67860,977.0
1649217943.3639913,67898,978.0
1649217992.1763132,67994,980.0
1649218030.5333946,68069,981.0
1649218091.3543847,68188,983.0
1649218153.9264572,68311,985.0
1649218182.9160225,68368,986.0
1649218218.5642066,68438,987.0
1649218227.716133,68456,987.0
1649218294.5450344,68587,989.0
1649218310.793623,68619,990.0
1649218312.8220708,68623,990.0
1649218333.6570144,68664,990.0
1649218416.5481887,68826,993.0
1649218422.1690886,68837,993.0
1649218540.3717573,69066,998.0
1649218542.9115713,69071,998.0
1649218626.0243018,69234,1001.0
1649218680.2494175,69336,1004.0
1649218726.6362474,69427,1006.0
1649218743.4166381,69460,1006.0
1649218778.522294,69529,1007.0
1649218834.9579139,69640,1009.0
1649218852.7481701,69675,1010.0
1649218909.2107105,69785,1012.0
1649218928.02011,69822,1013.0
1649219118.0772078,70195,1019.0
1649219205.3540127,70339,1023.0
1649219216.0215294,70360,1023.0
1649219331.927539,70588,1026.0
1649219334.468961,70593,1026.0
1649219356.85694,70637,1028.0
1649219363.4612424,70650,1028.0
1649219409.9786913,70741,1029.0
1649219481.4419184,70875,1032.0
1649219520.0828276,70951,1033.0
1649219523.7022352,70958,1033.0
1649219551.6783135,71013,1034.0
1649219586.412795,71081,1036.0
1649219626.0681922,71159,1037.0
1649219649.9741082,71206,1038.0
1649219658.6118736,71223,1038.0
1649219675.3756702,71256,1038.0
1649219726.2390587,71356,1040.0
1649219901.0959828,71694,1047.0
1649219938.741377,71768,1048.0
1649219961.1481571,71812,1049.0
1649219971.8258939,71833,1049.0
1649220013.5137887,71915,1051.0
1649220017.579631,71923,1051.0
1649220109.091843,72102,1054.0
1649220204.1650012,72289,1057.0
1649220336.9831078,72550,1061.0
1649220354.775495,72585,1061.0
1649220372.6151485,72620,1062.0
1649220385.8323486,72646,1062.0
1649220629.534244,73124,1068.0
1649220670.238286,73204,1069.0
1649220689.559543,73242,1069.0
1649220796.9621994,73453,1072.0
1649220816.9576735,73492,1072.0
1649220854.0643976,73565,1074.0
1649220915.8222947,73686,1076.0
1649220993.834941,73838,1078.0
1649221017.7134306,73885,1079.0
1649221032.9544888,73915,1079.0
1649221036.5117903,73922,1079.0
1649221047.1855874,73943,1080.0
1649221093.4958327,74034,1081.0
1649221094.5148447,74036,1081.0
1649221152.616233,74150,1083.0
1649221173.959449,74192,1083.0
1649221234.7601964,74306,1085.0
1649221288.7011378,74412,1087.0
1649221324.292834,74482,1088.0
1649221382.0887833,74594,1090.0
1649221450.065105,74718,1092.0
1649221469.376117,74756,1093.0
1649221509.521528,74835,1094.0
1649221520.715776,74857,1094.0
1649221596.4685743,75005,1097.0
1649221643.29132,75097,1098.0
1649221649.900046,75110,1098.0
1649221668.222836,75146,1099.0
1649221687.695495,75184,1099.0
1649221698.3693702,75205,1099.0
1649221781.843423,75369,1102.0
1649221819.4637985,75442,1104.0
1649221847.4879818,75497,1104.0
1649221882.0918493,75565,1105.0
1649221905.9834912,75612,1106.0
1649221943.1056767,75685,1108.0
1649222045.8029842,75886,1112.0
1649222084.0787075,75960,1113.0
1649222106.9978473,76005,1113.0
1649222215.634442,76218,1116.0
1649222216.1426942,76219,1116.0
1649222260.459311,76306,1118.0
1649222352.237893,76486,1120.0
1649222352.7459142,76487,1120.0
1649222375.2078004,76531,1120.0
1649222403.6696198,76587,1121.0
1649222508.477541,76793,1126.0
1649222578.2295182,76930,1128.0
1649222581.7876441,76937,1128.0
1649222620.101232,77012,1129.0
1649222623.659864,77019,1129.0
1649222630.3279252,77032,1129.0
1649222687.7980378,77145,1132.0
1649222871.5449927,77506,1136.0
1649222896.5404844,77555,1137.0
1649222898.0634696,77558,1137.0
1649222923.9951725,77609,1137.0
1649223024.257768,77806,1140.0
1649223097.4440231,77950,1141.0
1649223142.753834,78039,1143.0
1649223153.4243288,78060,1143.0
1649223168.1571229,78089,1144.0
