Wall time,Step,Value
1649182775.6376588,172,132.0
1649182812.4300313,244,232.0
1649182820.3574157,259,251.0
1649182893.6421618,402,435.0
1649182926.1189704,465,520.0
1649182948.9968126,510,572.0
1649182972.826941,556,623.0
1649183025.5322628,658,734.0
1649183100.0068674,804,881.0
1649183213.5830588,1026,1151.0
1649183219.1721234,1037,1169.0
1649183267.4682016,1132,1321.0
1649183294.3375685,1184,1409.0
1649183338.5685325,1271,1495.0
1649183413.4551125,1417,1640.0
1649183434.2869413,1458,1678.0
1649183452.576961,1494,1712.0
1649183461.2215962,1510,1729.0
1649183480.6038907,1548,1764.0
1649183489.236921,1565,1779.0
1649183689.2405167,1940,2329.0
1649183699.717564,1960,2347.0
1649183942.9638617,2436,2844.0
1649183945.5017948,2441,2850.0
1649183956.177198,2462,2876.0
1649183977.076469,2503,2928.0
1649184015.0739279,2577,3020.0
1649184073.1837032,2684,3180.0
1649184077.7550263,2693,3189.0
1649184085.6881757,2708,3205.0
1649184090.2927718,2717,3214.0
1649184116.963595,2768,3269.0
1649184281.167758,3083,3588.0
1649184292.4826562,3105,3615.0
1649184314.174433,3145,3674.0
1649184364.849201,3241,3832.0
1649184377.146131,3265,3869.0
1649184423.906129,3356,3992.0
1649184505.8464599,3500,4157.0
1649184539.937571,3566,4222.0
1649184557.2060502,3600,4253.0
1649184565.3323889,3616,4268.0
1649184584.6535475,3654,4304.0
1649184591.769529,3668,4318.0
1649184593.4532282,3671,4322.0
1649184691.7346327,3848,4574.0
1649184726.1233468,3915,4656.0
1649184781.1278098,4023,4788.0
1649184825.39734,4109,4891.0
1649184831.4946506,4121,4903.0
1649184862.0198865,4181,4964.0
1649184867.9251103,4192,4977.0
1649184885.7155921,4227,5013.0
1649184932.380237,4318,5106.0
1649184937.4590905,4328,5116.0
1649185058.3070118,4564,5368.0
1649185196.2411351,4832,5742.0
1649185328.4626133,5090,5991.0
1649185351.835623,5136,6035.0
1649185377.7674642,5187,6084.0
1649185384.386582,5200,6096.0
1649185416.1874642,5262,6166.0
1649185432.960401,5295,6217.0
1649185467.5870736,5362,6322.0
1649185514.4255111,5454,6464.0
1649185630.347017,5667,6722.0
1649185714.509746,5832,6883.0
1649185731.802338,5866,6917.0
1649185738.46829,5879,6930.0
1649185791.2745094,5981,7048.0
1649185799.4047794,5997,7070.0
1649185827.867351,6053,7137.0
1649185871.3091886,6138,7244.0
1649185915.5918899,6225,7351.0
1649185943.0380125,6279,7426.0
1649185971.0488105,6334,7500.0
1649185988.8246477,6369,7536.0
1649186091.2621987,6569,7740.0
1649186173.6919801,6730,7902.0
1649186184.0750003,6750,7927.0
1649186234.995401,6850,8061.0
1649186270.9170978,6919,8174.0
1649186307.565494,6991,8290.0
1649186339.6497602,7054,8359.0
1649186441.443727,7253,8550.0
1649186541.742002,7436,8752.0
1649186555.981119,7464,8793.0
1649186605.0761101,7543,8946.0
1649186666.9644763,7644,9105.0
1649186709.9663591,7727,9207.0
1649186711.491999,7730,9211.0
1649186724.7029252,7756,9243.0
1649186744.0439022,7794,9290.0
1649186842.4808345,7986,9488.0
1649186911.7828083,8122,9623.0
1649186997.6891487,8291,9818.0
1649187129.4670355,8548,10175.0
1649187132.5221326,8554,10182.0
1649187165.0390735,8618,10242.0
1649187185.9042275,8659,10281.0
1649187203.6892715,8694,10313.0
1649187218.9085267,8724,10341.0
1649187233.1422431,8752,10369.0
1649187245.3506489,8776,10391.0
1649187246.3658526,8778,10392.0
1649187269.2112057,8823,10436.0
1649187274.2807868,8833,10445.0
1649187296.6415904,8877,10486.0
1649187388.7766309,9058,10723.0
1649187436.7041912,9152,10869.0
1649187494.6505582,9252,11014.0
1649187514.4712763,9291,11061.0
1649187532.7737336,9327,11094.0
1649187549.067086,9359,11124.0
1649187644.8813338,9547,11306.0
1649187728.9114594,9712,11489.0
1649187749.73866,9753,11538.0
1649187750.245861,9754,11540.0
1649187792.7732377,9837,11645.0
1649187808.0244436,9867,11681.0
1649187821.7492592,9894,11714.0
1649187833.4339633,9917,11742.0
1649187849.6988807,9949,11785.0
1649187861.9039574,9973,11821.0
1649187864.9512477,9979,11829.0
1649187908.14816,10063,11938.0
1649187921.8674986,10090,11965.0
1649187937.6157837,10121,11999.0
1649187973.6872478,10191,12069.0
1649188050.8196769,10342,12210.0
1649188079.504413,10395,12265.0
1649188105.019867,10445,12323.0
1649188112.599229,10458,12343.0
1649188135.1442082,10501,12400.0
1649188144.5691593,10518,12428.0
1649188167.3434205,10561,12501.0
1649188211.4754617,10643,12635.0
1649188212.5734043,10645,12638.0
1649188269.6722913,10707,12813.0
1649188278.6725004,10724,12838.0
1649188431.2267678,11023,13124.0
1649188437.8325026,11036,13136.0
1649188467.7498348,11094,13197.0
1649188480.0993319,11118,13223.0
1649188538.7843509,11218,13389.0
1649188596.8805163,11331,13536.0
1649188629.445826,11394,13611.0
1649188846.255391,11819,14064.0
1649188870.625762,11867,14110.0
1649188952.8501399,12027,14308.0
1649188977.7525682,12076,14373.0
1649189099.946098,12316,14683.0
1649189119.2553546,12354,14718.0
1649189141.5923338,12398,14761.0
1649189142.6054895,12400,14762.0
1649189181.208739,12476,14833.0
1649189245.1524897,12601,14950.0
1649189299.5187,12708,15095.0
1649189398.0860112,12901,15371.0
1649189400.1204228,12905,15376.0
1649189420.6819096,12944,15425.0
1649189612.2734542,13304,15813.0
1649189654.957873,13388,15908.0
1649189670.2071097,13418,15945.0
1649189723.0609994,13522,16071.0
1649189737.3017783,13550,16105.0
1649189774.3789039,13623,16194.0
1649189784.037416,13642,16223.0
1649189786.578708,13647,16231.0
1649189865.4251354,13802,16410.0
1649189889.2972736,13849,16458.0
1649189951.7672226,13971,16573.0
1649189957.0329845,13980,16583.0
1649189970.2749102,14006,16607.0
1649189990.634004,14046,16643.0
1649190062.7874255,14188,16811.0
1649190071.9335885,14206,16838.0
1649190101.9554079,14265,16935.0
1649190147.2591639,14354,17072.0
1649190150.8159177,14361,17083.0
1649190283.961547,14623,17347.0
1649190295.1317577,14645,17368.0
1649190345.9364805,14745,17462.0
1649190399.8595996,14851,17573.0
1649190406.4655375,14864,17594.0
1649190492.6837611,15019,17839.0
1649190516.440645,15065,17895.0
1649190518.9796417,15070,17900.0
1649190546.4434626,15124,17965.0
1649190577.5129988,15185,18043.0
