Wall time,Step,Value
1649182775.6377223,172,678.0
1649182812.430094,244,1162.0
1649182820.3574717,259,1162.0
1649182893.6422682,402,1811.0
1649182926.1190329,465,2086.0
1649182948.9968617,510,2086.0
1649182972.8270037,556,2440.0
1649183025.5323198,658,2938.0
1649183100.0069175,804,3525.0
1649183213.583123,1026,4651.0
1649183219.1721923,1037,4651.0
1649183267.468265,1132,5304.0
1649183294.337604,1184,5512.0
1649183338.5685878,1271,5995.0
1649183413.4551687,1417,6562.0
1649183434.2870202,1458,6754.0
1649183452.577018,1494,6754.0
1649183461.2216582,1510,6938.0
1649183480.6039455,1548,6938.0
1649183489.236957,1565,6938.0
1649183689.240548,1940,8985.0
1649183699.717595,1960,9213.0
1649183942.9639244,2436,11387.0
1649183945.5018566,2441,11387.0
1649183956.1772623,2462,11387.0
1649183977.0765162,2503,11387.0
1649184015.0739691,2577,11946.0
1649184073.1837656,2684,12680.0
1649184077.7551045,2693,12680.0
1649184085.6882389,2708,12680.0
1649184090.2928073,2717,12849.0
1649184116.9636512,2768,13032.0
1649184281.167816,3083,14299.0
1649184292.4827044,3105,14299.0
1649184314.1744962,3145,14547.0
1649184364.8492644,3241,15219.0
1649184377.1461933,3265,15219.0
1649184423.9061713,3356,15831.0
1649184505.8465085,3500,16344.0
1649184539.9376156,3566,16588.0
1649184557.2060897,3600,16817.0
1649184565.332431,3616,16981.0
1649184584.6535966,3654,16981.0
1649184591.7695863,3668,17213.0
1649184593.4532897,3671,17213.0
1649184691.7346637,3848,18062.0
1649184726.1234102,3915,18336.0
1649184781.1278718,4023,18974.0
1649184825.3974035,4109,19254.0
1649184831.4946876,4121,19433.0
1649184862.019944,4181,19646.0
1649184867.9251592,4192,19646.0
1649184885.7156422,4227,19821.0
1649184932.3802931,4318,20278.0
1649184937.459139,4328,20278.0
1649185058.3070686,4564,21384.0
1649185196.2411687,4832,22568.0
1649185328.4626489,5090,23680.0
1649185351.8356593,5136,23856.0
1649185377.7674956,5187,24048.0
1649185384.3866298,5200,24048.0
1649185416.187526,5262,24231.0
1649185432.9604323,5295,24491.0
1649185467.5871353,5362,24747.0
1649185514.4255571,5454,25340.0
1649185630.3470633,5667,25922.0
1649185714.5098083,5832,26458.0
1649185731.802363,5866,26458.0
1649185738.4683392,5879,26894.0
1649185791.2745712,5981,27246.0
1649185799.404822,5997,27246.0
1649185827.867407,6053,27572.0
1649185871.3092554,6138,27753.0
1649185915.5919578,6225,28003.0
1649185943.0380752,6279,28243.0
1649185971.0488737,6334,28410.0
1649185988.824704,6369,28580.0
1649186091.2622416,6569,29053.0
1649186173.6920488,6730,29463.0
1649186184.0750494,6750,29463.0
1649186234.9954646,6850,29749.0
1649186270.91716,6919,29938.0
1649186307.5655487,6991,30135.0
1649186339.649802,7054,30420.0
1649186441.4437833,7253,30698.0
1649186541.7420597,7436,31212.0
1649186555.9811804,7464,31426.0
1649186605.0761876,7543,31609.0
1649186666.9645383,7644,32149.0
1649186709.966405,7727,32149.0
1649186711.492084,7730,32395.0
1649186724.7029736,7756,32395.0
1649186744.0439417,7794,32395.0
1649186842.4809086,7986,32918.0
1649186911.7828507,8122,33362.0
1649186997.6891906,8291,33565.0
1649187129.4670742,8548,34534.0
1649187132.5221634,8554,34534.0
1649187165.0391233,8618,34534.0
1649187185.9042509,8659,34534.0
1649187203.6893208,8694,34842.0
1649187218.9085574,8724,34842.0
1649187233.142292,8752,34842.0
1649187245.3506806,8776,35085.0
1649187246.3658977,8778,35085.0
1649187269.2112594,8823,35085.0
1649187274.2808292,8833,35085.0
1649187296.6416402,8877,35317.0
1649187388.776693,9058,35680.0
1649187436.7042468,9152,36137.0
1649187494.65062,9252,36318.0
1649187514.471318,9291,36318.0
1649187532.7737815,9327,36318.0
1649187549.0671165,9359,36734.0
1649187644.8813765,9547,36971.0
1649187728.9115841,9712,37666.0
1649187749.7387102,9753,37666.0
1649187750.245923,9754,37666.0
1649187792.7732935,9837,37952.0
1649187808.0245056,9867,37952.0
1649187821.7493055,9894,38287.0
1649187833.4340162,9917,38287.0
