WallTime,Step,Value
1648995019.5045016,172,0.0
1648995069.4859114,244,0.0
1648995079.910674,259,1.0
1648995164.398452,402,2.0
1648995209.5772595,465,2.0
1648995238.1952276,510,0.0
1648995254.732594,538,2.0
1648995269.9784226,556,0.0
1648995291.9062397,596,3.0
1648995335.806441,658,1.0
1648995403.346873,764,0.0
1648995431.909002,804,1.0
1648995483.342469,866,1.0
1648995589.6070907,1026,3.0
1648995595.3223827,1037,3.0
1648995669.6763754,1125,4.0
1648995673.4067142,1132,4.0
1648995690.7899866,1164,1.0
1648995703.2425635,1184,2.0
1648995745.3312995,1252,1.0
1648995761.0116313,1271,1.0
1648995852.8821752,1417,0.0
1648995876.1087162,1458,0.0
1648995896.331366,1494,0.0
1648995905.021849,1510,1.0
1648995951.8421237,1548,4.0
1648995963.1013258,1565,0.0
1648996040.3304272,1670,3.0
1648996229.57373,1940,1.0
1648996251.5753329,1960,0.0
1648996597.2763662,2436,2.0
1648996600.3945735,2441,2.0
1648996612.3597152,2462,2.0
1648996649.5768955,2503,1.0
1648996690.745375,2577,3.0
1648996734.815839,2643,0.0
1648996768.5965528,2684,1.0
1648996773.6518285,2693,1.0
1648996781.8866313,2708,1.0
1648996795.9104774,2717,2.0
1648996831.1758287,2768,0.0
1648996987.4079623,2973,3.0
1648997047.182121,3083,0.0
1648997058.1594028,3104,0.0
1648997058.665541,3105,0.0
1648997089.5885866,3145,2.0
1648997129.4231167,3217,1.0
1648997142.4707737,3241,1.0
1648997156.1411936,3265,1.0
1648997217.4835815,3356,1.0
1648997306.4288862,3500,2.0
1648997342.3524363,3566,0.0
1648997362.2081964,3600,1.0
1648997370.732039,3616,1.0
1648997390.6227129,3654,1.0
1648997398.4902997,3668,1.0
1648997400.2854867,3671,1.0
1648997432.8487828,3712,2.0
1648997480.7090297,3782,1.0
1648997527.621315,3848,0.0
1648997563.4036531,3915,0.0
1648997630.0503488,4023,2.0
1648997681.3432872,4109,1.0
1648997688.616224,4121,1.0
1648997730.1560495,4181,0.0
1648997737.2311783,4192,0.0
1648997758.5810597,4227,1.0
1648997808.5598862,4318,0.0
1648997823.462463,4328,0.0
1648997951.5400207,4539,4.0
1648997964.740133,4564,2.0
1648998051.2259424,4690,2.0
1648998134.1954231,4832,4.0
1648998136.3041646,4836,4.0
1648998170.999158,4882,1.0
1648998296.806267,5090,0.0
1648998319.2578664,5132,3.0
1648998321.2927773,5136,1.0
1648998348.6809115,5187,3.0
1648998356.21838,5200,3.0
1648998403.34435,5262,1.0
1648998426.8439155,5295,0.0
1648998463.9398837,5362,2.0
1648998520.2465825,5454,2.0
1648998643.7673051,5667,3.0
1648998733.3083055,5832,2.0
1648998761.6769521,5866,0.0
1648998768.284104,5879,0.0
1648998812.089946,5956,1.0
1648998825.2419431,5981,1.0
1648998833.6895547,5997,4.0
1648998870.9523487,6053,0.0
1648998916.2216418,6111,1.0
1648998933.4308975,6138,1.0
