Wall time,Step,Value
1648995019.5047512,172,192.0
1648995069.4861922,244,173.0
1648995079.910941,259,220.0
1648995164.3987112,402,290.0
1648995209.5775068,465,268.0
1648995238.1954741,510,175.0
1648995254.7328362,538,279.0
1648995269.9785464,556,186.0
1648995291.9064808,596,295.0
1648995335.8066852,658,238.0
1648995403.347117,764,169.0
1648995431.9092147,804,209.0
1648995483.3427007,866,248.0
1648995589.6073337,1026,336.0
1648995595.3225741,1037,336.0
1648995669.6766217,1125,409.0
1648995673.4068341,1132,409.0
1648995690.790236,1164,218.0
1648995703.2428095,1184,283.0
1648995745.3315465,1252,243.0
1648995761.0118704,1271,212.0
1648995852.8822985,1417,167.0
1648995876.1089554,1458,177.0
1648995896.3316152,1494,168.0
1648995905.0220513,1510,243.0
1648995951.8423393,1548,411.0
1648995963.1015692,1565,178.0
1648996040.3306425,1670,365.0
1648996229.5739727,1940,240.0
1648996251.5755103,1960,174.0
1648996597.276555,2436,283.0
1648996600.3948154,2441,283.0
1648996612.3598306,2462,283.0
1648996649.5771496,2503,223.0
1648996690.745621,2577,353.0
1648996734.8160899,2643,166.0
1648996768.5967948,2684,216.0
1648996773.652012,2693,234.0
1648996781.886819,2708,234.0
1648996795.9107049,2717,273.0
1648996831.1760345,2768,181.0
1648996987.408225,2973,359.0
1648997047.1823602,3083,179.0
1648997058.1595118,3104,191.0
1648997058.66578,3105,191.0
1648997089.588827,3145,300.0
1648997129.4233315,3217,228.0
1648997142.4710398,3241,240.0
1648997156.1413774,3265,240.0
1648997217.483818,3356,207.0
1648997306.4291031,3500,297.0
1648997342.3526533,3566,175.0
1648997362.208621,3600,249.0
1648997370.7322319,3616,249.0
1648997390.6228213,3654,207.0
1648997398.490543,3668,207.0
1648997400.2857456,3671,207.0
1648997432.849024,3712,268.0
1648997480.7094297,3782,240.0
1648997527.6215668,3848,170.0
1648997563.4038713,3915,174.0
1648997630.050602,4023,311.0
1648997681.3435247,4109,203.0
1648997688.6164198,4121,203.0
1648997730.1562665,4181,171.0
1648997737.2313693,4192,171.0
1648997758.5813067,4227,216.0
1648997808.5601707,4318,169.0
1648997823.4627078,4328,169.0
1648997951.540263,4539,376.0
1648997964.7403789,4564,271.0
1648998051.2261865,4690,290.0
1648998134.1956682,4832,422.0
1648998136.30443,4836,422.0
1648998170.9994009,4882,241.0
1648998296.8065093,5090,182.0
1648998319.2581112,5132,354.0
1648998321.2930174,5136,243.0
1648998348.6811583,5187,374.0
1648998356.2186246,5200,374.0
1648998403.3445985,5262,219.0
1648998426.844331,5295,184.0
1648998463.940167,5362,280.0
1648998520.2468276,5454,314.0
1648998643.7675674,5667,318.0
1648998733.3085568,5832,279.0
1648998761.6772027,5866,180.0
1648998768.2844274,5879,180.0
1648998812.0901852,5956,248.0
1648998825.2421987,5981,248.0
1648998833.6897943,5997,369.0
1648998870.9525976,6053,176.0
1648998916.2218826,6111,235.0
1648998933.4311368,6138,235.0
1648998981.1752396,6225,178.0
1648999022.2155015,6279,233.0
1648999065.810705,6332,265.0
1648999067.0269642,6334,265.0
1648999079.6657288,6358,235.0
1648999080.173949,6359,235.0
1648999085.5661056,6369,235.0
1648999192.6227374,6569,255.0
1648999200.816526,6585,255.0
1648999203.3581703,6590,173.0
1648999208.3390658,6599,173.0
1648999279.6993961,6730,174.0
1648999290.8808742,6750,262.0
1648999343.2633576,6850,308.0
1648999380.5340984,6919,182.0
