Wall time,Step,Value
1648995019.505013,172,394.0
1648995069.4864497,244,601.0
1648995079.9111974,259,643.0
1648995164.3989718,402,989.0
1648995209.577763,465,1177.0
1648995238.1957588,510,1293.0
1648995254.7330952,538,1362.0
1648995269.9786568,556,1424.0
1648995291.9067411,596,1513.0
1648995335.8069434,658,1696.0
1648995403.3473806,764,1971.0
1648995431.909444,804,2067.0
1648995483.3429585,866,2237.0
1648995589.6075914,1026,2608.0
1648995595.3227704,1037,2629.0
1648995669.6768804,1125,2916.0
1648995673.4069343,1132,2932.0
1648995690.7904973,1164,2996.0
1648995703.2430658,1184,3043.0
1648995745.3318274,1252,3200.0
1648995761.0121658,1271,3262.0
1648995852.8824248,1417,3609.0
1648995876.1091866,1458,3692.0
1648995896.3318717,1494,3767.0
1648995905.02224,1510,3798.0
1648995951.8425722,1548,3984.0
1648995963.101827,1565,4026.0
1648996040.330871,1670,4318.0
1648996229.5742307,1940,5004.0
1648996251.5756826,1960,5091.0
1648996597.2767448,2436,6380.0
1648996600.3950717,2441,6392.0
1648996612.3599288,2462,6436.0
1648996649.577384,2503,6568.0
1648996690.7458804,2577,6718.0
1648996734.8163218,2643,6882.0
1648996768.5970573,2684,7009.0
1648996773.6521883,2693,7027.0
1648996781.8869991,2708,7056.0
1648996795.910963,2717,7111.0
1648996831.1762319,2768,7239.0
1648996987.4084907,2973,7825.0
1648997047.1826231,3083,8041.0
1648997058.1596117,3104,8078.0
1648997058.6660373,3105,8081.0
1648997089.589055,3145,8196.0
1648997129.4235587,3217,8338.0
1648997142.471346,3241,8385.0
1648997156.1415775,3265,8433.0
1648997217.484065,3356,8664.0
1648997306.4293313,3500,8988.0
1648997342.352886,3566,9117.0
1648997362.2091374,3600,9190.0
1648997370.732431,3616,9220.0
1648997390.6229205,3654,9291.0
1648997398.490803,3668,9320.0
1648997400.2860143,3671,9327.0
1648997432.8492818,3712,9451.0
1648997480.7097864,3782,9629.0
1648997527.6218386,3848,9808.0
1648997563.4041085,3915,9918.0
1648997630.050868,4023,10157.0
1648997681.3437548,4109,10348.0
